iter	RMSE
906	0.2177010805
907	0.2172126714
908	0.2169080687
909	0.2166161076
910	0.2165402585
911	0.2162799319
912	0.2158481177
913	0.2158113922
914	0.2155638176
915	0.2153242572
916	0.2150819842
917	0.2148487781
918	0.2144928253
919	0.2142991391
920	0.2140228568
921	0.2138022051
922	0.2135387367
923	0.2131559437
924	0.2130452341
925	0.2127837071
926	0.2125641225
927	0.2122881103
928	0.2120356575
929	0.2119128342
930	0.2115403803
931	0.2112770846
932	0.2109969987
933	0.210857834
934	0.2107734182
935	0.2105174187
936	0.2104374954
937	0.2102283528
938	0.210111849
939	0.2098836405
940	0.2097057158
941	0.2094812864
942	0.2094245196
943	0.2092370145
944	0.2091302095
945	0.2088914332
946	0.2086732272
947	0.2084846303
948	0.208243531
949	0.2080232225
950	0.2077889254
951	0.2075680086
952	0.2074061645
953	0.2070943898
954	0.2069748467
955	0.2067525737
956	0.2064947238
957	0.2062440344
958	0.2060958538
959	0.205834156
960	0.2054197739
961	0.2053186405
962	0.2050877996
963	0.2049381802
964	0.2047068664
965	0.2043813439
966	0.2041997985
967	0.2039419603
968	0.2037336235
969	0.2034577591
970	0.2032710213
971	0.2030125632
972	0.2026926123
973	0.2024040409
974	0.2022147398
975	0.2019814094
976	0.2017705693
977	0.2015413174
978	0.2013580927
979	0.2010983903
980	0.2008977793
981	0.2006570189
982	0.2005219
983	0.200332802
984	0.2000822563
985	0.1998907821
986	0.1997068527
987	0.1996199146
988	0.199347403
989	0.1991880721
990	0.1990248774
991	0.1987550523
992	0.1985413921
993	0.1982341576
994	0.1980513663
995	0.1979156671
996	0.1976189513
997	0.1974010452
998	0.1972689275
999	0.1970803122
