Customer ID,frequency,recency,T,monetary_value,CLV_BGNBD,Units Sold,Revenue,CLV_Linear,CLV_DecisionTree,CLV_XGBoost,CLV_LightGBM,CLV_CatBoost,Segment,expected_orders_90D,expected_aov,expected_revenue_90D
7599,1.0,289.0,331.0,23.76,6.123542136148214,8,32.94,6.759781594133141,6.123542136148214,6.093683,5.936812052941223,6.043914829504532,Medium,0.26184079384839176,23.854124487876625,6.245982892463977
7601,1.0,436.0,643.0,9.24,1.6011141466735381,8,16.759999999999998,-0.36093215096017417,1.6011141466735381,1.6110718,1.5786938175256238,1.586477105299637,Low,0.14639036629642443,11.156271305727294,1.633170642947708
7602,0.0,0.0,101.0,0.0,,6,24.82,4.001018872656839,2.32659064545856,2.448441,2.204232450379268,2.2461509670744,Low,0.2583820034828738,24.510042505126265,6.33295388792492
7605,0.0,0.0,547.0,0.0,,3,3.06,-4.211166498857838,0.2280781283679771,0.2633084,0.20118353765688812,0.25569655306096006,Low,0.09387972698051743,24.510042505126265,2.300996098662131
7606,0.0,0.0,268.0,0.0,,6,16.2,0.9097318456908505,0.809695980654187,0.67736644,0.7056822021358599,0.4961188281186075,Low,0.15592777389606963,24.510042505126265,3.8217963659223844
7607,3.0,473.0,591.0,8.479999999999999,3.7708199752579388,19,40.26,3.97796728194587,3.7708199752579388,3.7985728,3.7798516719001407,3.7868529476081334,Low,0.4175464717945587,9.211769361016545,3.846341795677675
7609,1.0,204.0,595.0,3.34,0.7047847264320426,5,11.19,-2.0793093746687212,0.7047847264320426,0.68808675,0.7019589770845455,0.6746003737936199,Low,0.11988202415000641,5.996675315735489,0.7188935750207492
7610,0.0,0.0,116.0,0.0,,3,7.97,2.376708414185593,1.0625347642413732,2.1720252,2.231025655615564,1.9387729350693883,Low,0.24395732776820828,24.510042505126265,5.979404473035805
7611,2.0,113.0,663.0,12.915000000000001,1.5076584640891633,13,35.52,0.6735668121786968,1.5076584640891633,1.5183738,1.3801940202393213,1.3825216812942687,Low,0.11232388816046114,13.691250414100098,1.5378544802902467
7612,0.0,0.0,638.0,0.0,,4,8.57,-5.057953132314968,0.2280781283679771,0.18357104,0.13113869850109888,0.2208815838293372,Low,0.08310132625812582,24.510042505126265,2.036817038819029
7613,0.0,0.0,171.0,0.0,,2,4.86,1.3177027043677834,1.0625347642413732,1.3791592,1.573519506036424,1.346870423555524,Low,0.2025422618904496,24.510042505126265,4.964319448019335
7614,3.0,189.0,238.0,24.74666666666667,19.57185068013196,20,111.01,15.688011098095863,19.57185068013196,19.574678,19.423941154451885,19.61559923236625,High,0.8070558201547569,24.735864804386136,19.963223656941036
7615,0.0,0.0,102.0,0.0,,5,26.91,4.135064568604664,2.32659064545856,2.652442,2.7440591861780983,2.252026358441249,Low,0.257367226357713,24.510042505126265,6.3080816574539975
7617,4.0,647.0,731.0,11.6175,5.43896094027318,20,57.41,5.32370468997069,5.43896094027318,5.4548845,5.4043354220285655,5.305089736222076,Medium,0.45987486641114467,12.06400286926474,5.5479317078867885
7618,1.0,410.0,485.0,13.67,2.889127607434212,6,30.83,3.496165560273675,3.683753958498796,3.005469,2.93363592215799,3.0209081415934236,Low,0.19606621647816821,15.03034083719572,2.946942060326268
7619,2.0,100.0,696.0,15.31,1.4278328136756528,10,35.1,0.3814238522206046,1.4278328136756528,1.5263048,1.390093523864966,1.7800007827982647,Low,0.09145045871596189,15.925912947381214,1.4564320445084886
7620,0.0,0.0,228.0,0.0,,5,8.75,0.8680005945959968,1.0625347642413732,0.8697021,1.041423089374814,0.810572066407202,Low,0.1722704553941605,24.510042505126265,4.222356184088332
7621,2.0,274.0,304.0,21.64,10.655017194676123,11,57.23,9.502480117759761,10.655017194676123,10.631139,10.242166096464267,10.377919333175736,Medium,0.4978042341726623,21.83214001864195,10.86813174233039
7622,3.0,438.0,718.0,3.893333333333333,1.5350255767800376,18,22.72,-0.07558324595810717,1.5350255767800376,1.5583874,1.436125095089923,1.5224353252357874,Low,0.32387683336933454,4.834483432722171,1.565777185166567
7624,0.0,0.0,427.0,0.0,,4,4.52,-2.3503225290679044,0.562158674561362,0.38459015,0.3500355951214686,0.39137908917077624,Low,0.11325614831071604,24.510042505126265,2.7759130090625344
7626,0.0,0.0,323.0,0.0,,5,8.35,-0.5293736465992769,0.7496644682170794,0.64208686,0.6427671724315458,0.5655408870498295,Low,0.1379431243074115,24.510042505126265,3.3809918400645724
7627,2.0,188.0,314.0,13.129999999999999,6.13306157167049,12,33.21,5.864387196631414,6.13306157167049,6.149378,6.078148261387538,6.092171124134881,Medium,0.4503169608399707,13.891856862808005,6.255738762883591
7628,0.0,0.0,343.0,0.0,,5,16.69,-0.1480217082308921,0.7496644682170794,0.8104166,0.6205030133651711,0.6091854461952009,Low,0.13239207230033742,24.510042505126265,3.24493531942302
7630,3.0,131.0,289.0,18.996666666666666,11.604469397043946,16,59.010000000000005,9.636410794569318,11.604469397043946,11.579517,11.848060165958621,11.453590832536982,Medium,0.6149412753765576,19.248351558522906,11.836605856294426
7632,2.0,353.0,535.0,13.235,4.198673086103058,11,66.22,6.099888900361893,5.306039484064916,3.7069967,4.640571709765505,4.352369405111063,Medium,0.3061323034886694,13.98982745403745,4.282738103913512
7633,10.0,260.0,342.0,16.627,29.696845731929173,45,192.57,25.415727123814747,29.696845731929173,29.686434,30.022112272611206,30.181003174234394,High,1.8096765231336673,16.738521623701363,30.29130961437759
7634,0.0,0.0,88.0,0.0,,4,11.25,3.0613142433670664,2.820447678323929,2.6295438,2.4118315062577813,2.210230292647636,Low,0.27234600380596685,24.510042505126265,6.675212129385527
